model_id,question_id,rank,chunk_id,score
source_claim_specific_rewrite,10K-V2-I1-001,1,238865,0.3966173231601715
source_claim_specific_rewrite,10K-V2-I1-001,2,238871,0.18242144584655762
source_claim_specific_rewrite,10K-V2-I1-001,3,238866,-0.712171733379364
source_claim_specific_rewrite,10K-V2-I1-001,4,238872,-0.7237442135810852
source_claim_specific_rewrite,10K-V2-I1-001,5,238868,-1.4159590005874634
source_claim_specific_rewrite,10K-V2-I1-002,1,293893,3.9941415786743164
source_claim_specific_rewrite,10K-V2-I1-002,2,293896,2.7659456729888916
source_claim_specific_rewrite,10K-V2-I1-002,3,293891,0.057861700654029846
source_claim_specific_rewrite,10K-V2-I1-002,4,293890,-1.7413558959960938
source_claim_specific_rewrite,10K-V2-I1-002,5,293899,-1.9779036045074463
source_claim_specific_rewrite,10K-V2-I1-003,1,244048,3.875922203063965
source_claim_specific_rewrite,10K-V2-I1-003,2,244052,3.2257351875305176
source_claim_specific_rewrite,10K-V2-I1-003,3,244059,1.6489901542663574
source_claim_specific_rewrite,10K-V2-I1-003,4,244049,1.1814954280853271
source_claim_specific_rewrite,10K-V2-I1-003,5,244054,0.048376183956861496
source_claim_specific_rewrite,10K-V2-I1-004,1,314145,3.80668568611145
source_claim_specific_rewrite,10K-V2-I1-004,2,314146,-2.332684278488159
source_claim_specific_rewrite,10K-V2-I1-004,3,314150,-4.042809009552002
source_claim_specific_rewrite,10K-V2-I1-004,4,314149,-5.361433982849121
source_claim_specific_rewrite,10K-V2-I1-004,5,314151,-6.037521839141846
source_claim_specific_rewrite,10K-V2-I1A-001,1,246160,-0.5305700302124023
source_claim_specific_rewrite,10K-V2-I1A-001,2,246186,-1.2817833423614502
source_claim_specific_rewrite,10K-V2-I1A-001,3,246212,-2.762208938598633
source_claim_specific_rewrite,10K-V2-I1A-001,4,246219,-2.897493839263916
source_claim_specific_rewrite,10K-V2-I1A-001,5,246227,-3.306033134460449
source_claim_specific_rewrite,10K-V2-I1A-002,1,271318,-0.8788379430770874
source_claim_specific_rewrite,10K-V2-I1A-002,2,271324,-1.899464726448059
source_claim_specific_rewrite,10K-V2-I1A-002,3,271327,-2.1708736419677734
source_claim_specific_rewrite,10K-V2-I1A-002,4,271326,-4.128803730010986
source_claim_specific_rewrite,10K-V2-I1A-002,5,271333,-4.376282691955566
source_claim_specific_rewrite,10K-V2-I1A-003,1,313356,1.5663485527038574
source_claim_specific_rewrite,10K-V2-I1A-003,2,313344,0.8442802429199219
source_claim_specific_rewrite,10K-V2-I1A-003,3,313355,-0.6785183548927307
source_claim_specific_rewrite,10K-V2-I1A-003,4,313354,-0.9564262628555298
source_claim_specific_rewrite,10K-V2-I1A-003,5,313343,-1.0366945266723633
source_claim_specific_rewrite,10K-V2-I1A-004,1,255426,2.919215202331543
source_claim_specific_rewrite,10K-V2-I1A-004,2,255423,2.407350778579712
source_claim_specific_rewrite,10K-V2-I1A-004,3,255421,1.649924635887146
source_claim_specific_rewrite,10K-V2-I1A-004,4,255415,1.645632028579712
source_claim_specific_rewrite,10K-V2-I1A-004,5,255434,1.2489781379699707
source_claim_specific_rewrite,10K-V2-I7-001,1,256271,0.9251800775527954
source_claim_specific_rewrite,10K-V2-I7-001,2,256266,-0.5845149159431458
source_claim_specific_rewrite,10K-V2-I7-001,3,256265,-1.0604597330093384
source_claim_specific_rewrite,10K-V2-I7-001,4,256278,-1.69930899143219
source_claim_specific_rewrite,10K-V2-I7-001,5,256282,-1.7948449850082397
source_claim_specific_rewrite,10K-V2-I7-002,1,323326,-3.0673813819885254
source_claim_specific_rewrite,10K-V2-I7-002,2,323337,-3.457322120666504
source_claim_specific_rewrite,10K-V2-I7-002,3,323338,-4.278789520263672
source_claim_specific_rewrite,10K-V2-I7-002,4,323332,-4.568463325500488
source_claim_specific_rewrite,10K-V2-I7-002,5,323335,-4.625089645385742
source_claim_specific_rewrite,10K-V2-I7-003,1,302855,-2.2681500911712646
source_claim_specific_rewrite,10K-V2-I7-003,2,302873,-2.9059090614318848
source_claim_specific_rewrite,10K-V2-I7-003,3,302874,-3.976391315460205
source_claim_specific_rewrite,10K-V2-I7-003,4,302853,-4.795847415924072
source_claim_specific_rewrite,10K-V2-I7-003,5,302869,-5.425568103790283
source_claim_specific_rewrite,10K-V2-I7-004,1,340529,1.3233916759490967
source_claim_specific_rewrite,10K-V2-I7-004,2,340545,0.5406285524368286
source_claim_specific_rewrite,10K-V2-I7-004,3,340544,-0.9034838080406189
source_claim_specific_rewrite,10K-V2-I7-004,4,340537,-2.4294066429138184
source_claim_specific_rewrite,10K-V2-I7-004,5,340538,-2.888103723526001
source_claim_specific_rewrite,10K-V2-I8-001,1,281164,0.658237099647522
source_claim_specific_rewrite,10K-V2-I8-001,2,281170,0.11021322011947632
source_claim_specific_rewrite,10K-V2-I8-001,3,281171,-2.1581871509552
source_claim_specific_rewrite,10K-V2-I8-001,4,281163,-2.8233349323272705
source_claim_specific_rewrite,10K-V2-I8-001,5,281167,-2.8253612518310547
source_claim_specific_rewrite,10K-V2-I8-002,1,293685,-0.8571885228157043
source_claim_specific_rewrite,10K-V2-I8-002,2,293658,-0.998695969581604
source_claim_specific_rewrite,10K-V2-I8-002,3,293657,-1.8710477352142334
source_claim_specific_rewrite,10K-V2-I8-002,4,293671,-5.328065395355225
source_claim_specific_rewrite,10K-V2-I8-002,5,293647,-5.533627510070801
source_claim_specific_rewrite,10K-V2-I8-003,1,233561,2.1382510662078857
source_claim_specific_rewrite,10K-V2-I8-003,2,233560,1.5090035200119019
source_claim_specific_rewrite,10K-V2-I8-003,3,233559,-1.439984679222107
source_claim_specific_rewrite,10K-V2-I8-003,4,233543,-3.337801694869995
source_claim_specific_rewrite,10K-V2-I8-003,5,233532,-4.672013759613037
source_claim_specific_rewrite,10K-V2-I8-004,1,290535,0.9077140688896179
source_claim_specific_rewrite,10K-V2-I8-004,2,290530,-2.5534424781799316
source_claim_specific_rewrite,10K-V2-I8-004,3,290502,-2.6905815601348877
source_claim_specific_rewrite,10K-V2-I8-004,4,290500,-2.925506591796875
source_claim_specific_rewrite,10K-V2-I8-004,5,290492,-2.9725468158721924
source_claim_specific_rewrite,10K-V2-XC-001,1,264515,-1.2146637439727783
source_claim_specific_rewrite,10K-V2-XC-001,2,286848,-1.0086134672164917
source_claim_specific_rewrite,10K-V2-XC-001,3,264516,-2.4577953815460205
source_claim_specific_rewrite,10K-V2-XC-001,4,286847,-2.6637537479400635
source_claim_specific_rewrite,10K-V2-XC-001,5,264514,-3.0453057289123535
source_claim_specific_rewrite,10K-V2-XC-002,1,326177,-2.288776397705078
source_claim_specific_rewrite,10K-V2-XC-002,2,326178,-2.8981993198394775
source_claim_specific_rewrite,10K-V2-XC-002,3,291501,-6.0582594871521
source_claim_specific_rewrite,10K-V2-XC-002,4,326171,-6.82224702835083
source_claim_specific_rewrite,10K-V2-XC-002,5,326179,-7.428739547729492
source_claim_specific_rewrite,10K-V2-XC-003,1,245430,-1.7365745306015015
source_claim_specific_rewrite,10K-V2-XC-003,2,245466,-4.161680698394775
source_claim_specific_rewrite,10K-V2-XC-003,3,313076,-5.225984573364258
source_claim_specific_rewrite,10K-V2-XC-003,4,313088,-5.527125835418701
source_claim_specific_rewrite,10K-V2-XC-003,5,245431,-5.614012718200684
source_claim_specific_rewrite,10K-V2-XC-004,1,239612,-0.4955204725265503
source_claim_specific_rewrite,10K-V2-XC-004,2,239652,-0.7372372150421143
source_claim_specific_rewrite,10K-V2-XC-004,3,239596,-1.291422963142395
source_claim_specific_rewrite,10K-V2-XC-004,4,239611,-1.3758991956710815
source_claim_specific_rewrite,10K-V2-XC-004,5,280029,-1.5521597862243652
source_claim_specific_rewrite,10K-V2-TC-001,1,304857,3.3897340297698975
source_claim_specific_rewrite,10K-V2-TC-001,2,304832,1.4904195070266724
source_claim_specific_rewrite,10K-V2-TC-001,3,304833,1.4839122295379639
source_claim_specific_rewrite,10K-V2-TC-001,4,304853,0.31125253438949585
source_claim_specific_rewrite,10K-V2-TC-001,5,304854,0.2597001791000366
source_claim_specific_rewrite,10K-V2-TC-002,1,332966,5.9450531005859375
source_claim_specific_rewrite,10K-V2-TC-002,2,332972,5.711421966552734
source_claim_specific_rewrite,10K-V2-TC-002,3,332967,5.317207336425781
source_claim_specific_rewrite,10K-V2-TC-002,4,332961,4.819993495941162
source_claim_specific_rewrite,10K-V2-TC-002,5,332960,3.5843305587768555
source_claim_specific_rewrite,10K-V2-TC-003,1,266325,-4.191128253936768
source_claim_specific_rewrite,10K-V2-TC-003,2,266359,-4.555240154266357
source_claim_specific_rewrite,10K-V2-TC-003,3,266329,-4.895838737487793
source_claim_specific_rewrite,10K-V2-TC-003,4,266779,-5.139623165130615
source_claim_specific_rewrite,10K-V2-TC-003,5,266793,-5.592889785766602
source_claim_specific_rewrite,10K-V2-TC-004,1,339366,-1.0924229621887207
source_claim_specific_rewrite,10K-V2-TC-004,2,339356,-1.094087839126587
source_claim_specific_rewrite,10K-V2-TC-004,3,339785,-1.2970706224441528
source_claim_specific_rewrite,10K-V2-TC-004,4,339775,-1.3851678371429443
source_claim_specific_rewrite,10K-V2-TC-004,5,339365,-1.3872617483139038
